Image Tag,Algorithm Name,Analysis Region,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells
168525_NVA_17-001.ILC1.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,2.633239,4.534369,10.916196,2.392184,4.293314,8.415725,0.233522,10.682674,2.35499,8.561205,1.603107,3.0758,0.119586,0.572505,0.692091,0.041431,0.033898,,,,,,,,
168526_NVA_17-001.ILC1.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,6.956349,28.725651,33.404495,5.666027,27.435329,11.487338,1.390874,32.013622,21.237076,12.16742,0.895053,3.298372,0.041112,0.816792,0.857904,0.002724,0.031948,,,,,,,,
168527_NVA_17-001.ILC1.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,5.89814,13.67966,42.195309,4.583271,12.364791,28.433699,2.148542,40.046768,12.652694,29.542618,0.292193,0.317293,0.013516,0.142664,0.15618,0.000858,0.002574,,,,,,,,
168528_NVA_17-001.ILC1.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.789868,22.638445,31.443996,7.131992,19.98057,13.053435,2.272311,29.171686,17.610271,13.833727,0.751978,1.723525,0.014712,0.396391,0.411103,0.003609,0.016933,,,,,,,,
168529_NVA_17-001.ILC1.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,11.882726,33.865688,53.000629,8.230099,30.213062,19.441723,5.294871,47.705757,31.216343,21.784285,6.034971,3.403156,0.084731,0.868656,0.953387,0.006967,0.296894,,,,,,,,
168530_NVA_17-001.ILC1.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,9.030167,23.306334,30.4645,6.238167,20.514334,12.072833,1.9195,28.545,17.881166,12.583333,1.523333,2.651167,0.054667,0.441667,0.496334,0.01,0.0955,,,,,,,,
168531_NVA_17-001.ILC1.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,8.097904,32.556698,53.963451,5.513291,29.972084,23.358864,2.870733,51.092716,29.615398,24.348053,2.594142,2.225868,0.139326,0.566833,0.706159,0.026784,0.160186,,,,,,,,
168532_NVA_17-001.ILC1.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,14.017722,40.74184,55.620804,10.441912,37.166031,16.527855,5.761087,49.859715,36.083897,19.536907,4.216823,9.354023,0.14383,2.197051,2.340881,0.009901,0.800497,,,,,,,,
168533_NVA_17-001.ILC2.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,2.4528,3.564968,5.948994,2.257311,3.369479,4.378486,0.085733,5.863261,1.5267,4.422294,,,,,,,,7.522328,13.251809,0.52099,0.809749,,,,
168534_NVA_17-001.ILC2.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,6.704765,28.342575,31.004789,5.572811,27.210621,9.220052,0.803612,30.201178,21.510872,9.493919,,,,,,,,14.5085,44.6642,1.272636,9.149836,,,,
168535_NVA_17-001.ILC2.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,4.443429,11.240914,34.21777,3.503394,10.300879,23.352095,1.288227,32.929543,10.269753,23.948015,,,,,,,,2.02819,5.585681,0.262111,0.289803,,,,
168536_NVA_17-001.ILC2.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,12.941065,29.763231,28.611591,8.924397,25.746563,6.682541,2.484847,26.126745,21.510445,7.101147,,,,,,,,18.379694,26.294783,0.475701,8.47792,,,,
168537_NVA_17-001.ILC2.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,10.69586,32.873089,43.00174,7.680383,29.857611,13.155879,2.773679,40.228058,29.121819,13.879919,,,,,,,,35.62756,21.860403,1.339158,12.524038,,,,
168538_NVA_17-001.ILC2.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,6.755829,25.970125,27.671684,4.44354,23.657835,8.850974,0.988645,26.683039,18.68804,8.983645,,,,,,,,16.248529,17.417021,0.565938,5.790175,,,,
168539_NVA_17-001.ILC2.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,7.404842,31.660191,43.530968,5.20411,29.459459,16.212557,1.476351,42.054619,27.056307,16.474663,,,,,,,,35.326576,8.989583,0.509009,4.511261,,,,
168540_NVA_17-001.ILC2.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,18.508966,43.946457,57.160137,13.325898,38.76339,14.651872,6.912671,50.247467,39.523354,17.636784,,,,,,,,54.0056,41.230953,3.729021,24.614925,,,,
168541_NVA_17-001.ILC3.RunAA_14T014134.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,3.793697,3.806948,4.632433,3.530151,3.543402,3.229796,0.09472,4.537714,1.35356,3.278874,,,,,,,,,,,,0.88585,25.990017,0.099628,0.092757
168542_NVA_17-001.ILC3.RunAA_15T001781.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,7.108893,27.445162,17.019941,5.524236,25.860504,3.991392,0.515162,16.50478,12.893933,4.126009,,,,,,,,,,,,1.022887,26.725224,0.076357,0.398396
168543_NVA_17-001.ILC3.RunAA_20T003206.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,4.145958,10.833001,26.325554,3.420606,10.107649,16.99995,0.792353,25.533201,8.976933,17.348621,,,,,,,,,,,,0.47707,9.842337,0.065208,0.023977
168544_NVA_17-001.ILC3.RunAA_20T031119.02.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,13.96486,19.755644,20.527235,10.649826,16.440611,7.629779,1.79139,18.735846,12.457451,8.069784,,,,,,,,,,,,1.413574,20.145844,0.115849,0.178038
168545_NVA_17-001.ILC3.RunAA_20T044556.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,18.710472,36.085754,40.437683,12.821754,30.197037,10.466221,4.244161,36.19352,29.086281,11.3514,,,,,,,,,,,,5.985753,55.240303,1.518299,2.093199
168546_NVA_17-001.ILC3.RunAA_21T000228.03.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,12.551803,25.147839,25.228401,8.998971,21.595007,8.390293,1.45467,23.773731,16.564127,8.664274,,,,,,,,,,,,2.946509,20.66391,0.490104,0.531815
168547_NVA_17-001.ILC3.RunAA_21T017425.03.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,7.375203,22.421148,31.368494,5.103968,20.149914,14.237214,1.421795,29.946699,16.860165,14.508328,,,,,,,,,,,,2.902751,9.90317,0.329463,0.385098
168548_NVA_17-001.ILC3.RunAA_23T006612.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,23.825169,49.176876,47.356579,14.051507,39.403217,8.747952,6.163771,41.192806,37.453293,9.903285,,,,,,,,,,,,10.53238,57.619114,2.118677,3.216129
