Image Tag,Algorithm Name,Analysis Region,Area Analyzed (μm²),Total Cells,TdT Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,Early T-Cells:TdT+TCR- Cells,Mature T-Cells:TdT-TCR+ Cells,Pool-IL7R Non T:TdT-TCR-IL7R+ Cells,Pool-IL7R Early T:TdT+TCR-IL7R+ Cells,Pool-IL7R Mature T:TdT-TCR+IL7R+ Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+TdT-TCR-IL7R+ Cells,ILC1:TBX+EOMES-TdT-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Cells,T-Helper:TdT-TCR+TBX+EOMES+ Cells,T-Helper:TdT+TCR+TBX+EOMES+ Cells,Immature T-Helper:TdT+TCR-TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+GATA+ICOS+ Cells,T-Helper:TdT+TCR+GATA+ICOS+ Cells,Immature T-Helper:TdT+TCR-GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+TdT-TCR-IL7R+ Cells,T-Helper:TdT-TCR+ROR+AHR+ Cells,T-Helper:TdT+TCR+ROR+AHR+ Cells,Immature T-Helper:TdT+TCR-ROR+AHR+ Cells,% TdT Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% Early T-Cells:TdT+TCR- Positive Cells,% Mature T-Cells:TdT-TCR+ Positive Cells,% Pool-IL7R Non T:TdT-TCR-IL7R+ Positive Cells,% Pool-IL7R Early T:TdT+TCR-IL7R+ Positive Cells,% Pool-IL7R Mature T:TdT-TCR+IL7R+ Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+TdT-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-TdT-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+TdT-TCR-IL7R- Positive Cells,% T-Helper:TdT-TCR+TBX+EOMES+ Positive Cells,% T-Helper:TdT+TCR+TBX+EOMES+ Positive Cells,% Immature T-Helper:TdT+TCR-TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+GATA+ICOS+ Positive Cells,% T-Helper:TdT+TCR+GATA+ICOS+ Positive Cells,% Immature T-Helper:TdT+TCR-GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,% T-Helper:TdT-TCR+ROR+AHR+ Positive Cells,% T-Helper:TdT+TCR+ROR+AHR+ Positive Cells,% Immature T-Helper:TdT+TCR-ROR+AHR+ Positive Cells,%Pool-IL7R ILC1s:TBX+EOMES+/-TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC2:GATA+ICOS+TdT-TCR-IL7R+ Positive Cells,%Pool-IL7R ILC3:ROR+AHR+TdT-TCR-IL7R+ Positive Cells,Early T-Cells - Density/mm²,Mature T-Cells - Density/mm²,Pool-IL7R Non T - Density/mm²,Pool-IL7R Early T - Density/mm²,Pool-IL7R Mature T - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 TdT- - Density/mm²,TH1 TdT+ - Density/mm²,Immature TH1 - Density/mm²,ILC2 - Density/mm²,TH2 TdT- - Density/mm²,TH2 TdT+ - Density/mm²,Immature TH2 - Density/mm²,ILC3 - Density/mm²,TH17 TdT- - Density/mm²,TH17 TdT+ - Density/mm²,Immature TH17 - Density/mm²
178688_NVA_17-001.ILC1.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,45982716,615082,15230,3092,24095,15171,3033,21043,1125,1907,77,57,1,9,10,2,0,0,0,,,,,,,,,,,,,2.476093,0.502697,3.917364,2.466501,0.493105,3.42117,0.182902,0.31004,0.012519,0.009267,0.000163,0.001463,0.001626,0.000325,0,0,0,,,,,,,,,,,,,0.047521741,,,329.9283148,65.9595662,457.6284707,24.46571447,41.47210443,0.043494603,0.217473017,0,0,0,,,,,,,,
178689_NVA_17-001.ILC1.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,30177730,383438,77367,59002,234717,66799,48434,126427,51844,46212,2271,637,96,311,407,26,5,0,1,,,,,,,,,,,,,20.177187,15.387625,61.213806,17.42107,12.631508,32.971954,13.52083,12.052013,0.592273,0.166129,0.025037,0.081108,0.106145,0.006781,0.001304,0,0.000261,,,,,,,,,,,,,0.321924905,,,2213.519705,1604.958358,4189.413849,1717.955592,1531.327903,0.861562483,13.48676657,0.165685093,0,0.033137019,,,,,,,,
178690_NVA_17-001.ILC1.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,75380912,903076,260757,146336,405758,204593,90172,139327,136627,78903,4270,1279,287,431,718,31,72,7,7,,,,,,,,,,,,,28.874313,16.204174,44.93066,22.655125,9.984984,15.428048,15.12907,8.737139,0.472828,0.141627,0.03178,0.047726,0.079506,0.003433,0.007973,0.000775,0.000775,,,,,,,,,,,,,0.515334429,,,2714.122111,1196.21795,1848.306107,1812.488021,1046.723871,0.411244693,9.524957724,0.955148964,0.092861705,0.092861705,,,,,,,,
178691_NVA_17-001.ILC1.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,32068254,419174,100829,45452,277151,91506,36129,154374,79237,34391,4607,1460,108,805,913,8,30,0,1,,,,,,,,,,,,,24.054211,10.84323,66.118362,21.830076,8.619094,36.828144,18.903128,8.204469,1.099066,0.348304,0.025765,0.192044,0.217809,0.001909,0.007157,0,0.000239,,,,,,,,,,,,,0.591420835,,,2853.476214,1126.628222,4813.91971,2470.886005,1072.431321,0.249467901,28.47052415,0.935504627,0,0.031183488,,,,,,,,
178692_NVA_17-001.ILC1.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,13776566,208144,95021,123299,160805,23367,51645,27465,16633,47452,704,76,1,23,24,1,5,3,1,,,,,,,,,,,,,45.651569,59.237354,77.256607,11.226362,24.812149,13.195191,7.991102,22.797678,0.338227,0.036513,0.00048,0.01105,0.01153,0.00048,0.002402,0.001441,0.00048,,,,,,,,,,,,,0.087383943,,,1696.141114,3748.757129,1993.60276,1207.340058,3444.399715,0.072587029,1.742088703,0.362935147,0.217761088,0.072587029,,,,,,,,
178693_NVA_17-001.ILC1.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,13175913,185754,96984,32011,85814,80007,15034,28076,32354,13283,3444,516,225,151,376,13,23,1,6,,,,,,,,,,,,,52.210987,17.233007,46.197659,43.07148,8.0935,15.114614,17.41766,7.150856,1.854065,0.277787,0.121128,0.08129,0.202418,0.006999,0.012382,0.000538,0.00323,,,,,,,,,,,,,1.339222111,,,6072.216779,1141.021499,2130.858029,2455.541411,1008.127482,0.986648895,28.53692188,1.745609583,0.075896069,0.455376413,,,,,,,,
178694_NVA_17-001.ILC1.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,30694520,332899,187646,132068,256216,101095,45517,39104,87933,44345,1847,945,42,289,331,6,36,5,2,,,,,,,,,,,,,56.367245,39.672092,76.965088,30.368069,13.672915,11.746506,26.414318,13.320857,0.554823,0.28387,0.012616,0.086813,0.099429,0.001802,0.010814,0.001502,0.000601,,,,,,,,,,,,,0.84646072,,,3293.584653,1482.903137,1273.973335,2864.778469,1444.720426,0.195474632,10.78368386,1.172847792,0.162895527,0.065158211,,,,,,,,
178695_NVA_17-001.ILC1.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC1-ST,Layer 1,14474399,205645,21885,90197,148010,11110,79422,57946,3985,76398,6418,986,200,181,381,13,235,6,3,,,,,,,,,,,,,10.642126,43.860535,71.973549,5.402514,38.620926,28.177685,1.937805,37.150429,3.120912,0.479467,0.097255,0.088016,0.185271,0.006322,0.114275,0.002918,0.001459,,,,,,,,,,,,,0.657508715,,,767.5620936,5487.067201,4003.344111,275.3136762,5278.146609,0.898137463,26.32233642,16.23556184,0.414524983,0.207262492,,,,,,,,
178696_NVA_17-001.ILC2.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,46023088,670858,35766,10816,79489,35166,10216,60097,10772,8163,,,,,,,,,,44002,5460,735,922,22,53,,,,,,,5.331382,1.612264,11.848856,5.241944,1.522826,8.95823,1.605705,1.2168,,,,,,,,,,6.559063,0.813883,0.109561,0.137436,0.003279,0.0079,,,,,,,,1.22302278,,764.0947517,221.9755441,1305.801123,234.0564371,177.3674987,,,,,,15.9702452,20.03342322,0.478020945,1.151595912,,,,
178697_NVA_17-001.ILC2.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,30412930,387042,53493,36609,89005,48279,31395,43105,17329,24329,,,,,,,,,,73804,28033,2116,5736,1101,1135,,,,,,,13.820981,9.458663,22.996212,12.47384,8.111523,11.137034,4.477292,6.285881,,,,,,,,,,19.068731,7.242883,0.546711,1.48201,0.284465,0.29325,,,,,,,,4.908943278,,1587.449812,1032.2912,1417.324802,569.7905463,799.9558083,,,,,,69.57567061,188.6039918,36.20170763,37.31965319,,,,
178698_NVA_17-001.ILC2.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,75154072,919287,237610,108583,405089,200785,71758,157081,147810,64826,,,,,,,,,,456610,82578,13640,28450,11311,10732,,,,,,,25.847206,11.811654,44.065563,21.841383,7.805832,17.087265,16.078766,7.051769,,,,,,,,,,49.670017,8.982831,1.483759,3.09479,1.23041,1.167426,,,,,,,,8.683418109,,2671.644991,954.8118697,2090.119615,1966.759699,862.5746852,,,,,,181.4938251,378.5556689,150.5041537,142.7999803,,,,
178699_NVA_17-001.ILC2.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,33130968,427486,174988,55673,238132,149874,30559,80145,106133,27802,,,,,,,,,,126125,42211,6101,7489,4513,3796,,,,,,,40.934208,13.023351,55.705215,35.059395,7.148538,18.747982,24.827246,6.503605,,,,,,,,,,29.503891,9.874242,1.427181,1.75187,1.055707,0.887982,,,,,,,,7.61245243,,4523.683099,922.3696694,2419.03587,3203.437944,839.1544732,,,,,,184.1479549,226.0422937,136.2169678,114.5755838,,,,
178700_NVA_17-001.ILC2.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,14193752,217504,62684,112276,145656,14128,63720,32277,11613,54726,,,,,,,,,,33819,38815,189,4208,8270,398,,,,,,,28.8197,51.620201,66.967041,6.495513,29.296013,14.839727,5.339212,25.160917,,,,,,,,,,15.548679,17.84565,0.086895,1.934677,3.802229,0.182985,,,,,,,,0.585556278,,995.3675392,4489.299235,2274.028742,818.1768992,3855.640144,,,,,,13.31571807,296.4684743,582.6507325,28.04050684,,,,
178701_NVA_17-001.ILC2.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,13011241,184863,91903,24386,74420,80034,12517,21925,32401,10838,,,,,,,,,,70117,7398,963,1726,812,445,,,,,,,49.714111,13.19139,40.25684,43.293682,6.77096,11.860134,17.527033,5.86272,,,,,,,,,,37.929169,4.001883,0.520926,0.933664,0.439244,0.240719,,,,,,,,4.392246294,,6151.142693,962.0143075,1685.081385,2490.231332,832.9720432,,,,,,74.01292467,132.6545254,62.40757511,34.20119572,,,,
178702_NVA_17-001.ILC2.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,31863096,341472,201944,108962,163175,125826,32844,18329,61771,27109,,,,,,,,,,223417,27140,1530,9641,9239,3081,,,,,,,59.139256,31.909498,47.785763,36.848118,9.618359,5.367644,18.089624,7.938865,,,,,,,,,,65.42762,7.947943,0.44806,2.823365,2.705639,0.90227,,,,,,,,8.347427574,,3948.957126,1030.784956,575.2422803,1938.637727,850.7961687,,,,,,48.01793272,302.5757447,289.9592682,96.69493511,,,,
178703_NVA_17-001.ILC2.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC2-Default,Layer 1,15381970,214380,22041,98052,165786,11727,87738,60749,8125,86964,,,,,,,,,,79235,31215,2506,15136,3942,1075,,,,,,,10.281277,45.737476,77.332771,5.470193,40.926392,28.337065,3.789999,40.56535,,,,,,,,,,36.960072,14.560594,1.168952,7.06036,1.838791,0.501446,,,,,,,,4.125170785,,762.3860923,5703.950794,3949.364093,528.2158267,5653.632142,,,,,,162.9180138,984.0092004,256.2740663,69.88701707,,,,
178704_NVA_17-001.ILC3.RunST.TdTv2_15T044696.05.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,46086020,670183,27317,3318,31589,27149,3150,24845,4593,2054,,,,,,,,,,,,,,,,17118,354,3,1,0,8,4.076051,0.495089,4.713489,4.050983,0.470021,3.707196,0.685335,0.306483,,,,,,,,,,,,,,,,2.554228,0.052821,0.000448,0.000149,0,0.001194,,,0.012074864,589.0940463,68.35044554,539.1005776,99.66145916,44.5688302,,,,,,,,,,0.065095662,0.021698554,0,0.173588433
178705_NVA_17-001.ILC3.RunST.TdTv2_16T051943.03.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,29966474,382786,50951,34138,74253,46422,29609,34146,17408,19156,,,,,,,,,,,,,,,,78854,13737,226,138,256,1237,13.310571,8.918299,19.398045,12.127402,7.735131,8.920389,4.547711,5.004363,,,,,,,,,,,,,,,,20.600021,3.588689,0.059041,0.036051,0.066878,0.323157,,,0.661863761,1549.131206,988.0708688,1139.4734,580.9158595,639.247714,,,,,,,,,,7.541761503,4.605146405,8.542880287,41.27946451
178706_NVA_17-001.ILC3.RunST.TdTv2_17T034208.07.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,75579232,915856,254728,117093,379948,217322,79687,136112,150190,60381,,,,,,,,,,,,,,,,416185,62406,2364,1891,2521,7006,27.813107,12.785089,41.485561,23.72884,8.700822,14.861725,16.398867,6.592849,,,,,,,,,,,,,,,,45.442188,6.813953,0.258119,0.206473,0.275262,0.764967,,,1.736804984,2875.419533,1054.350486,1800.918009,1987.18611,798.9099439,,,,,,,,,,31.27843374,25.02010076,33.35572396,92.69742249
178707_NVA_17-001.ILC3.RunST.TdTv2_18T020199.06.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,31980472,422947,74032,30643,178824,69192,25803,104292,48576,21369,,,,,,,,,,,,,,,,69080,9608,514,68,175,839,17.503847,7.245116,42.280476,16.359497,6.100764,24.658409,11.485127,5.052406,,,,,,,,,,,,,,,,16.333015,2.271679,0.121528,0.016078,0.041376,0.19837,,,0.492847006,2163.570319,806.8361217,3261.115095,1518.926925,668.1890123,,,,,,,,,,16.07230813,2.126297573,5.472089343,26.23475976
178708_NVA_17-001.ILC3.RunST.TdTv2_18T022817.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,14244166,215690,89122,118839,148673,22690,52407,22902,16191,45126,,,,,,,,,,,,,,,,64604,59455,521,1855,18401,2111,41.319485,55.09713,68.929016,10.519728,24.297371,10.618016,7.506607,20.921694,,,,,,,,,,,,,,,,29.952246,27.565023,0.24155,0.860031,8.531225,0.978719,,,2.274910488,1592.932854,3679.190484,1607.81614,1136.675885,3168.033846,,,,,,,,,,36.57637801,130.2287547,1291.827124,148.2010249
178709_NVA_17-001.ILC3.RunST.TdTv2_19T052700.04.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,13210626,187950,96784,19268,52521,86053,8537,14899,24616,5988,,,,,,,,,,,,,,,,58769,30354,193,111,954,3119,51.494545,10.251662,27.944134,45.785049,4.542165,7.927108,13.0971,3.185954,,,,,,,,,,,,,,,,31.268423,16.15004,0.102687,0.059058,0.507582,1.659484,,,1.295388952,6513.922959,646.2222154,1127.804239,1863.348489,453.2714801,,,,,,,,,,14.60945151,8.402327036,72.21459452,236.09782
178710_NVA_17-001.ILC3.RunST.TdTv2_20T038573.01.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,29321656,312859,175048,124701,214772,92999,42652,23277,75158,37941,,,,,,,,,,,,,,,,144410,57782,389,687,18046,13031,55.951084,39.858532,68.648178,29.725531,13.632978,7.440093,24.022963,12.127189,,,,,,,,,,,,,,,,46.158173,18.469023,0.124337,0.219588,5.768094,4.165135,,,1.671177557,3171.683073,1454.624527,793.8501154,2563.224942,1293.958295,,,,,,,,,,13.26664497,23.42978173,615.4495503,444.4155542
178711_NVA_17-001.ILC3.RunST.TdTv2_21T003344.02.czi,HighPlex FL v4.2.5_ILC3-Default,Layer 1,15272355,214234,20669,58206,149147,13600,51137,82779,8996,50631,,,,,,,,,,,,,,,,17927,39998,659,351,2574,2436,9.647861,27.169357,69.618736,6.348199,23.869694,38.639526,4.199147,23.633503,,,,,,,,,,,,,,,,8.367952,18.670238,0.307608,0.16384,1.20149,1.137074,,,0.796095628,890.4978964,3348.337568,5420.185688,589.0381673,3315.205808,,,,,,,,,,43.1498613,22.98270306,168.5398224,159.5038879